feature,importance
ASTV,0.13042854329026254
ALTV,0.1299539202526189
Mean,0.10292152682607097
AC,0.0787349562866345
Median,0.07842845776766344
MSTV,0.07366079770596455
MLTV,0.05960207610651499
Mode,0.05352647206531885
DP,0.0473853123717536
LB,0.044724048174713864
Variance,0.0375999848979288
Width,0.027462925605966363
Max,0.025656143906791058
Min,0.024600776514884994
UC,0.023966746621847137
FM,0.018923219488406803
Nmax,0.016744153996279827
DL,0.013512127344721295
Tendency,0.008070653573725661
Nzeros,0.0036234216150052546
DS,0.00047373558692632615
