Feature,Avg_Importance
Mean,0.11525137421491974
MSTV,0.11427499774125695
ALTV,0.10918487394773116
ASTV,0.10167641424173504
DP,0.08927873369520756
AC,0.0780865264432317
Median,0.0563542318663498
Mode,0.0506036214587016
LB,0.03787937517090525
MLTV,0.037588986666902205
UC,0.028550482951236147
Max,0.0276806295383824
Variance,0.02733824225081625
Width,0.0243688873189686
Min,0.0229728113543263
FM,0.02006160640200555
Nmax,0.01931549759885575
DL,0.0167929639432327
Tendency,0.0106400612957881
Nzeros,0.0089995566094535
DS,0.0031001399399932
